2005000151|最好从下一秒|z ui h ao c ong x ia SP y i m iao|E4 E4 A3 A3 E4 E4 D4 D4 rest C4 C4 C4 C4|0.457160 0.457160 0.487860 0.487860 0.487860 0.487860 0.706150 0.706150 0.457640 0.279890 0.279890 0.986810 0.986810|0.12169 0.33547 0.1847 0.30316 0.16294 0.32492 0.19125 0.5149 0.45764 0.07043 0.20946 0.24803 0.73878|0 0 0 0 0 0 0 0 0 0 0 0 0
2005000152|好想能看到你嘴角微笑|h ao x iang n eng k an d ao SP AP SP n i z ui j iao w ei x iao AP SP|E4 E4 A3 A3 C4 C4 E4 E4 D4 D4 rest rest rest D4 D4 G3 G3 B3 B3 D4 D4 C4 C4 rest rest|0.536430 0.536430 0.481820 0.481820 0.653850 0.653850 0.580260 0.580260 0.477190 0.477190 0.077170 0.348660 0.102600 0.387230 0.387230 0.523870 0.523870 0.579040 0.579040 0.341270 0.341270 0.726070 0.726070 0.370330 0.055830|0.20882 0.32761 0.20291 0.27891 0.20729 0.44656 0.13168 0.44858 0.04212 0.43507 0.07717 0.34866 0.1026 0.02677 0.36046 0.14517 0.3787 0.10732 0.47172 0.07118 0.27009 0.23935 0.48672 0.37033 0.05583|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2005000153|最好在下一秒|z ui h ao z ai x ia AP y i m iao SP AP|E4 E4 A3 A3 C4 C4 E4 E4 rest G4 G4 E4 E4 rest rest|0.491260 0.491260 0.588990 0.588990 0.338330 0.338330 0.829900 0.829900 0.368110 0.363620 0.363620 0.823800 0.823800 1.952990 0.399680|0.14669 0.34457 0.22175 0.36724 0.08716 0.25117 0.22752 0.60238 0.36811 0.07483 0.28879 0.20792 0.61588 1.95299 0.39968|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2005000154|好想能听到你轻声歌唱|h ao x iang n eng t ing d ao AP SP n i q ing sh eng g e ch ang SP AP SP|E4 E4 A3 A3 C4 C4 E4 E4 D4 D4 rest rest D4 D4 G3 G3 B3 B3 D4 D4 C#4/Db4 C#4/Db4 rest rest rest|0.435870 0.435870 0.688150 0.688150 0.420390 0.420390 0.579770 0.579770 0.551260 0.551260 0.324640 0.165260 0.387380 0.387380 0.571060 0.571060 0.580830 0.580830 0.375490 0.375490 0.707910 0.707910 0.045000 0.266000 0.070650|0.16208 0.27379 0.21329 0.47486 0.08698 0.33341 0.09639 0.48338 0.03162 0.51964 0.32464 0.16526 0.03734 0.35004 0.18809 0.38297 0.13467 0.44616 0.03847 0.33702 0.15252 0.55539 0.045 0.266 0.07065|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2005000155|最好在下一秒|z ui h ao z ai x ia SP AP SP y i m iao SP AP SP|E4 E4 A3 A3 E4 E4 D4 D4 rest rest rest C4 C4 C4 C4 rest rest rest|0.479290 0.479290 0.579860 0.579860 0.414030 0.414030 0.665990 0.665990 0.106470 0.231530 0.131040 0.561270 0.561270 0.597460 0.597460 1.879870 0.352640 0.123260|0.12535 0.35394 0.20907 0.37079 0.08712 0.32691 0.17569 0.4903 0.10647 0.23153 0.13104 0.06978 0.49149 0.12256 0.4749 1.87987 0.35264 0.12326|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2005000156|纯白棒球帽墨绿色衣角|ch un b ai SP b ang q iu m ao AP SP m o l v s e SP y i j iao SP AP|E4 E4 A3 A3 rest C4 C4 E4 E4 D4 D4 rest rest D4 D4 G3 G3 B3 B3 rest D4 D4 C#4/Db4 C#4/Db4 rest rest|0.641130 0.641130 0.402620 0.402620 0.072610 0.391130 0.391130 0.550370 0.550370 0.696210 0.696210 0.310950 0.113430 0.496620 0.496620 0.350190 0.350190 0.610330 0.610330 0.068450 0.379890 0.379890 0.659710 0.659710 0.082900 0.280980|0.15304 0.48809 0.03892 0.3637 0.07261 0.03603 0.3551 0.1602 0.39017 0.09955 0.59666 0.31095 0.11343 0.06096 0.43566 0.02928 0.32091 0.2342 0.37613 0.06845 0.04505 0.33484 0.15937 0.50034 0.0829 0.28098|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2005000157|时间静止的美好|sh i j ian j ing zh i d e m ei h ao SP AP SP|F4 F4 F4 F4 F4 F4 F4 F4 G4 G4 A4 A4 G4 G4 rest rest rest|0.609070 0.609070 0.583760 0.583760 0.433190 0.433190 0.561030 0.561030 0.414930 0.414930 0.495760 0.495760 1.073170 1.073170 1.607980 0.389740 0.122830|0.19613 0.41294 0.07512 0.50864 0.06638 0.36681 0.10583 0.4552 0.03433 0.3806 0.13039 0.36537 0.13587 0.9373 1.60798 0.38974 0.12283|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2005000158|默契发生在每个下一秒|m o q i f a sh eng z ai m ei g e x ia y i m iao SP AP SP|C4 C4 B3 B3 C4 C4 B3 B3 C4 C4 B3 B3 C4 C4 A4 A4 B4 B4 G4 G4 rest rest rest|0.292670 0.292670 0.204370 0.204370 0.297260 0.297260 0.229950 0.229950 0.290420 0.290420 0.252290 0.252290 0.263930 0.263930 0.679350 0.679350 0.467410 0.467410 0.750160 0.750160 1.910190 0.421460 0.066940|0.05865 0.23402 0.12668 0.07769 0.07192 0.22534 0.08969 0.14026 0.06 0.23042 0.05172 0.20057 0.03131 0.23262 0.24755 0.4318 0.17863 0.28878 0.14454 0.60562 1.91019 0.42146 0.06694|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2005000159|爱上同一种口味的蛋糕|ai sh ang t ong y i zh ong k ou w ei d e SP d an g ao SP AP SP|C4 B3 B3 C4 C4 B3 B3 C4 C4 B3 B3 C4 C4 D4 D4 rest F4 F4 E4 E4 rest rest rest|0.307560 0.243480 0.243480 0.308020 0.308020 0.183840 0.183840 0.308340 0.308340 0.257170 0.257170 0.473280 0.473280 0.408570 0.408570 0.100710 0.506530 0.506530 0.688960 0.688960 1.861460 0.381280 0.205820|0.30756 0.08983 0.15365 0.03607 0.27195 0.03723 0.14661 0.05315 0.25519 0.09264 0.16453 0.05447 0.41881 0.04582 0.36275 0.10071 0.02842 0.47811 0.03991 0.64905 1.86146 0.38128 0.20582|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2005000160|不约而同哼唱一段曲调|b u y ve er t ong h eng ch ang y i SP d uan q v SP d iao SP AP|C4 C4 B3 B3 C4 B3 B3 C4 C4 B3 B3 C4 C4 rest A4 A4 B4 B4 rest G4 G4 rest rest|0.267870 0.267870 0.185790 0.185790 0.327570 0.199640 0.199640 0.299220 0.299220 0.253170 0.253170 0.323670 0.323670 0.160370 0.363910 0.363910 0.571060 0.571060 0.094600 0.527060 0.527060 1.973830 0.435180|0.03893 0.22894 0.09633 0.08946 0.32757 0.07719 0.12245 0.06961 0.22961 0.07273 0.18044 0.05964 0.26403 0.16037 0.02883 0.33508 0.20479 0.36627 0.0946 0.04389 0.48317 1.97383 0.43518|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
